# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-12-13 at 14:59:32
#
# Requested input R.A. = 7.215363 degrees
# Requested input Dec. = -1.073488 degrees
# Requested JD start = 2458620.5 days
# Requested JD end = 2458820.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 397 11 1 ZTF_r 900444274115 0 2.8885 152.081 14.4033 26.1022 6.78097e-05 0.045275 0.137575 0.000108227 184 30. 0.104575 0.092636 19.0993 26.1022 1 2458654.9442708 397120241 51.8155005042464 80.9778807615211 0.71178378755846 0.957839757943747 3.31865454242265 121.649841043896 0.027464120323008 1.07992991329022 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 1 397 11 1 ZTF_g 908443394115 0 2.289 81.7892 5.29588 26.13 5.11336e-05 0.0398699 -0.039897 8.05322e-05 189 30. 0.070231 0.069271 20.376 26.13 1 2458662.9433912 397120141 41.9061677245952 30.2764310492335 1.53967149073929 0.942985548700638 24.9840660074437 51.1437887244768 0.491796477280185 1.07961366779746 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 2 397 11 1 ZTF_r 908461184115 0 2.5093 173.525 6.3875 26.2262 2.1514e-05 0.0259987 0.14552 3.32564e-05 193 30. 0.066651 0.062347 20.4001 26.2262 1 2458662.9611806 397120241 36.3069013509035 30.2871650545248 1.33347648618274 0.933663412424566 29.149418720586 55.4676488743851 0.529060494329517 1.05441632730563 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 3 397 11 1 ZTF_g 913458124115 0 2.4358 84.5249 5.1259 26.1787 4.04758e-05 0.0355756 -0.0427037 6.54027e-05 190 30. 0.077029 0.06412 20.3979 26.1787 1 2458667.958125 397120141 -2.21879641421932 27.1111266128043 -0.0910384156856311 1.04649153884378 -86.0170996209926 44.300868454927 -1.95473435975712 1.0808645457264 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 4 397 11 1 ZTF_r 913464294115 0 2.4066 172.849 6.61385 26.2417 2.20143e-05 0.0259931 0.126883 3.40965e-05 192 30. 0.070013 0.060648 20.1941 26.2417 1 2458667.964294 397120241 -33.6860606269926 32.0721771760709 -1.16835974328787 1.00529690602034 -29.2606199036813 53.9051080560745 -0.546473106622779 1.05308936297569 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 5 397 11 1 ZTF_g 916441254115 0 1.8518 83.0223 4.81061 26.1382 3.08521e-05 0.0311055 -0.0449305 4.95007e-05 191 30. 0.071839 0.059668 20.6604 26.1382 1 2458670.94125 397120141 -14.8842757111507 19.4563906429453 -0.850981717599602 1.06216157571674 -30.3989195682065 36.2218389804033 -0.844895204162731 1.06671322555986 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 6 397 11 1 ZTF_r 916463954115 0 1.5643 172.03 5.94908 26.2485 1.95656e-05 0.0244545 0.128813 3.0303e-05 193 30. 0.064621 0.063749 20.6643 26.2485 1 2458670.9639583 397120241 -25.0675614887969 20.7290692850266 -1.34520070690939 0.992668207016799 -87.9040032280059 41.4974108210014 -2.1325677914948 1.03521497641333 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 7 397 11 1 ZTF_r 919447554115 0 2.3094 172.045 5.78276 26.2313 2.47997e-05 0.0275781 0.134721 3.80594e-05 194 30. 0.072999 0.058267 20.3661 26.2313 1 2458673.9475579 397120241 -42.9210888756143 26.8920972204844 -1.77541898505055 0.937108532571827 -89.3579904879002 46.6097676573873 -1.93006372304416 1.04876591298589 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 8 397 11 1 ZTF_g 919477634115 0 2.4658 88.4774 6.23259 26.224 3.99021e-05 0.0357608 -0.0448761 6.27225e-05 194 30. 0.0717 0.063751 20.218 26.224 1 2458673.9776389 397120141 6.76885648263869 30.9056659481569 0.243630693259051 1.05616388455915 -62.4815031363626 50.4092512242265 -1.2478328506618 1.08212876612597 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
