# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-12-14 at 02:51:26
#
# Requested input R.A. = 186.423654 degrees
# Requested input Dec. = 7.228395 degrees
# Requested JD start = 2459275.5 days
# Requested JD end = 2459475.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 473 14 3 ZTF_r 1521383275515 0 2.0558 253.575 15.5961 26.2804 1.66294e-05 0.033464 0.110529 2.64835e-05 399 30. 0.083715 0.077415 19.4453 26.2804 1 2459275.8832755 473120255 -129.748782776699 70.6818109816738 -2.04197502047557 1.0647714542603 -123.157233806257 126.55092317593 -0.97973765619566 1.06170915542867 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 1 473 14 3 ZTF_g 1521443365515 0 2.7479 144.961 15.6773 26.3688 4.25258e-05 0.0445291 -0.0347915 9.52243e-05 268 30. 0.099233 0.085776 19.292 26.3688 1 2459275.9433681 473120155 -23.6455514032171 97.5156279150453 -0.269730480181739 0.924687684642857 -118.818930704118 149.588006239087 -0.799657579815978 1.10254835609775 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 2 473 14 3 ZTF_g 1524316665515 0 2.638 141.325 5.24325 26.3492 1.47322e-05 0.0310583 -0.0378443 2.34318e-05 392 30. 0.084785 0.087249 20.4768 26.3492 1 2459278.8166667 473120155 17.1239256465469 36.7678004575153 0.518072433808578 0.988079486069018 40.306800793968 58.3450329300662 0.695487985498297 1.0870904626112 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 3 473 14 3 ZTF_r 1524424535515 0 2.3155 253.228 7.66828 26.2817 1.04149e-05 0.0259864 0.103382 1.63717e-05 398 30. 0.083517 0.076209 20.106 26.2817 1 2459278.924537 473120255 8.51444523352204 44.7960915902749 0.211432153640927 0.943222126196249 125.717195153749 77.2506909651011 1.63835308286645 1.05982148622392 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 4 473 14 3 ZTF_r 1527287835515 0 2.468 245.054 5.33183 26.2288 1.139e-05 0.0273658 0.113655 1.78468e-05 398 30. 0.086811 0.078571 20.3927 26.2288 1 2459281.7878356 473120255 8.28560143512806 34.9076957001078 0.264032664298074 1.06476808457582 -73.7698998953056 57.6952496693345 -1.28722459545778 1.06809454810988 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 5 473 14 3 ZTF_g 1537289125515 0 2.5358 139.243 5.16332 26.341 1.46612e-05 0.0312557 -0.050922 2.33325e-05 395 30. 0.083717 0.07996 20.5146 26.341 1 2459291.7891204 473120155 34.2795848177011 34.2405705267673 1.11365164252574 1.02789063332308 21.4818813979236 55.5462329251927 0.38934347058643 1.0803333686089 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 6 473 14 3 ZTF_r 1537350415515 0 1.6206 250.661 6.37827 26.2591 1.16492e-05 0.0276223 0.105966 1.80495e-05 398 30. 0.078505 0.072519 20.5918 26.2591 1 2459291.8504167 473120255 -45.9381766825915 27.7770281158892 -1.83968207343495 1.08936122126763 -3.84643064329422 53.7397389404907 -0.0720572271344472 1.05157830128129 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 7 473 14 3 ZTF_r 1539253835515 0 1.9011 248.651 6.95723 26.2585 9.9377e-06 0.0255776 0.112123 1.55789e-05 399 30. 0.082012 0.072897 20.3794 26.2585 1 2459293.753831 473120255 37.4966648818967 33.8932548506261 1.23064889278584 1.04215298526109 58.7773405663859 62.4496863495901 0.947534131806537 1.05469208289614 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 8 473 14 3 ZTF_g 1539294835515 0 2.5019 143.471 5.53232 26.363 1.38798e-05 0.0302657 -0.0509861 2.20252e-05 396 30. 0.082713 0.079823 20.4933 26.363 1 2459293.794838 473120155 17.2426157563858 34.2206714273525 0.56049200873243 0.982215799577223 43.3145738717121 56.2692034764272 0.774958544367987 1.07733940034033 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 9 473 14 3 ZTF_r 1542357745515 0 2.9552 239.041 8.56757 26.203 1.54593e-05 0.032236 0.119556 2.4205e-05 403 30. 0.096121 0.084597 19.7374 26.203 1 2459296.8577431 473120255 -24.3555177841587 51.4883063442209 -0.526191176830388 1.08986831718459 -154.899737451093 76.3668756610933 -2.04202404177203 1.10622699968305 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 10 473 14 3 ZTF_g 1544333745515 0 2.0115 121.339 14.9537 26.1791 4.10816e-05 0.0487068 -0.0461131 7.92509e-05 326 30. 0.086393 0.078888 19.4032 26.1791 1 2459298.83375 473120155 -125.645171987359 65.6469684743091 -2.1290503427747 1.00510335234932 -380.275825359589 120.293122757679 -3.18253443044883 1.05934200641312 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 11 473 14 3 ZTF_r 1544378505515 0 1.9727 213.328 14.7777 26.1007 1.68926e-05 0.0335154 0.100103 2.63971e-05 401 30. 0.088103 0.083871 19.3397 26.1007 1 2459298.8785069 473120255 0.332182403097779 63.0139371510929 0.00586401143081088 1.05162991061005 -100.603854253579 116.419731440612 -0.869967880417905 1.05232128216342 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 12 473 14 3 ZTF_g 1549358905515 0 2.177 140.481 19.7395 26.3513 3.46729e-05 0.0404046 -0.0499572 7.35352e-05 278 30. 0.087254 0.075563 19.2006 26.3513 1 2459303.8589005 473120155 2893.51670194889 98.8508351394782 32.561203747158 1.11424571550206 3019.47895871321 168.786699252997 18.00980371486 1.07154448135577 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 13 473 14 3 ZTF_g 1551277125515 33554432 2.2732 67.2124 11.4195 25.5371 0.000303959 0.11434 0.00148041 0.00064301 250 30. 0.091448 0.082074 18.9718 25.5371 1 2459305.7771296 473120155 6775.12717198763 69.3524985226814 108.670118549555 3.21678162650268 7219.83167338366 99.4954213101195 73.0531873666933 1.07487923931037 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 14 473 14 3 ZTF_r 1553253955515 0 1.7274 249.03 6.40873 26.2602 1.00007e-05 0.0257517 0.112368 1.57093e-05 398 30. 0.079935 0.071277 20.5369 26.2602 1 2459307.7539583 473120255 30244.0709482937 98.5703836790581 341.309677351472 70.6499085460753 28484.1527131609 94.604072459687 303.115863566409 1.04652957232323 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 15 473 14 3 ZTF_g 1553297235515 0 2.7386 141.781 4.89813 26.36 2.17796e-05 0.0376042 -0.0422916 3.50564e-05 392 30. 0.095544 0.077905 20.5443 26.36 1 2459307.7972338 473120155 30642.1688033289 98.1893144634532 347.144328172723 33.3160349947472 31518.1994938375 96.1981028442726 329.845136677915 1.08171062811972 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 16 473 14 3 ZTF_r 1555277325515 0 1.9838 249.072 6.44381 26.2584 1.02431e-05 0.0259344 0.111624 1.60566e-05 398 30. 0.079229 0.073192 20.4233 26.2584 1 2459309.7773264 473120255 55248.9683141199 130.26879978985 471.778952644368 103.723907926511 54136.8407886651 119.884927865471 454.614741790508 1.05509242190345 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
